git_version=git version 2.47.3
filter,command,executed,returncode
clean,status,YES,0
clean,rev-parse,NO,0
clean,remote,NO,0
clean,cat-file,NO,0
clean,ls-tree,NO,0
clean,worktree-add,NO,0
clean,switch,NO,0
clean,diff,YES,0
clean,add,YES,0
clean,commit,YES,0
smudge,status,NO,0
smudge,rev-parse,NO,0
smudge,remote,NO,0
smudge,cat-file,NO,0
smudge,ls-tree,NO,0
smudge,worktree-add,YES,0
smudge,switch,NO,0
smudge,diff,NO,0
smudge,add,NO,0
smudge,commit,NO,0
process,status,YES,128
process,rev-parse,NO,0
process,remote,NO,0
process,cat-file,NO,0
process,ls-tree,NO,0
process,worktree-add,YES,128
process,switch,NO,0
process,diff,YES,128
process,add,YES,128
process,commit,NO,1
